지점,지점명,일시,SPI6
101,춘천,2016-05-14,1.021
101,춘천,2016-05-15,1.107
101,춘천,2016-05-16,1.085
101,춘천,2016-05-17,1.019
101,춘천,2016-05-18,1.004
101,춘천,2016-05-19,.962
101,춘천,2016-05-20,.958
101,춘천,2016-05-21,.894
101,춘천,2016-05-22,.76
101,춘천,2016-05-23,.748
101,춘천,2016-05-24,.924
101,춘천,2016-05-25,.871
101,춘천,2016-05-26,.859
101,춘천,2016-05-27,.841
101,춘천,2016-05-28,.799
101,춘천,2016-05-29,.801
101,춘천,2016-05-30,.763
101,춘천,2016-05-31,.582
101,춘천,2016-06-01,.553
101,춘천,2016-06-02,.5
101,춘천,2016-06-03,.48
101,춘천,2016-06-04,.478
101,춘천,2016-06-05,.46
101,춘천,2016-06-06,.474
101,춘천,2016-06-07,.451
101,춘천,2016-06-08,.428
101,춘천,2016-06-09,.407
101,춘천,2016-06-10,.356
101,춘천,2016-06-11,.468
101,춘천,2016-06-12,.44
101,춘천,2016-06-13,.424
101,춘천,2016-06-14,.404
101,춘천,2016-06-15,.53
101,춘천,2016-06-16,.519
101,춘천,2016-06-17,.503
101,춘천,2016-06-18,.446
101,춘천,2016-06-19,.382
101,춘천,2016-06-20,.349
101,춘천,2016-06-21,.281
101,춘천,2016-06-22,.74
101,춘천,2016-06-23,.699
101,춘천,2016-06-24,.726
101,춘천,2016-06-25,.625
101,춘천,2016-06-26,.556
101,춘천,2016-06-27,.511
101,춘천,2016-06-28,.483
101,춘천,2016-06-29,.44
101,춘천,2016-06-30,.395
101,춘천,2016-07-01,.914
101,춘천,2016-07-02,.85
101,춘천,2016-07-03,.794
101,춘천,2016-07-04,.96
101,춘천,2016-07-05,1.786
101,춘천,2016-07-06,1.785
101,춘천,2016-07-07,1.723
101,춘천,2016-07-08,1.685
101,춘천,2016-07-09,1.61
101,춘천,2016-07-10,1.59
101,춘천,2016-07-11,1.53
101,춘천,2016-07-12,1.38
101,춘천,2016-07-13,1.289
101,춘천,2016-07-14,1.175
101,춘천,2016-07-15,1.09
101,춘천,2016-07-16,1.186
101,춘천,2016-07-17,1.158
101,춘천,2016-07-18,1.106
101,춘천,2016-07-19,1.085
101,춘천,2016-07-20,1.067
101,춘천,2016-07-21,1.035
101,춘천,2016-07-22,.99
101,춘천,2016-07-23,1.15
101,춘천,2016-07-24,1.254
101,춘천,2016-07-25,1.245
101,춘천,2016-07-26,1.175
101,춘천,2016-07-27,1.055
101,춘천,2016-07-28,1.029
101,춘천,2016-07-29,1.03
101,춘천,2016-07-30,1.025
101,춘천,2016-07-31,1.02
101,춘천,2016-08-01,1.009
101,춘천,2016-08-02,.965
101,춘천,2016-08-03,.92
101,춘천,2016-08-04,.9
101,춘천,2016-08-05,.889
101,춘천,2016-08-06,.861
101,춘천,2016-08-07,.816
101,춘천,2016-08-08,.778
101,춘천,2016-08-09,.752
101,춘천,2016-08-10,.74
101,춘천,2016-08-11,.647
101,춘천,2016-08-12,.571
101,춘천,2016-08-13,.517
101,춘천,2016-08-14,.51
101,춘천,2016-08-15,.471
101,춘천,2016-08-16,.441
101,춘천,2016-08-17,.416
101,춘천,2016-08-18,.396
101,춘천,2016-08-19,.347
101,춘천,2016-08-20,.305
101,춘천,2016-08-21,.296
101,춘천,2016-08-22,.289
101,춘천,2016-08-23,.232
101,춘천,2016-08-24,.199
101,춘천,2016-08-25,.178
101,춘천,2016-08-26,.197
101,춘천,2016-08-27,.156
101,춘천,2016-08-28,.156
101,춘천,2016-08-29,.128
101,춘천,2016-08-30,.117
101,춘천,2016-08-31,.101
101,춘천,2016-09-01,-.122
101,춘천,2016-09-02,-.16
101,춘천,2016-09-03,-.159
101,춘천,2016-09-04,-.183
101,춘천,2016-09-05,-.201
101,춘천,2016-09-06,-.215
101,춘천,2016-09-07,-.158
101,춘천,2016-09-08,-.066
101,춘천,2016-09-09,-.064
101,춘천,2016-09-10,-.094
101,춘천,2016-09-11,-.104
101,춘천,2016-09-12,-.099
101,춘천,2016-09-13,-.114
101,춘천,2016-09-14,-.129
101,춘천,2016-09-15,-.147
101,춘천,2016-09-16,-.158
101,춘천,2016-09-17,-.178
101,춘천,2016-09-18,-.177
101,춘천,2016-09-19,-.194
101,춘천,2016-09-20,-.207
101,춘천,2016-09-21,-.218
101,춘천,2016-09-22,-.219
101,춘천,2016-09-23,-.217
101,춘천,2016-09-24,-.225
101,춘천,2016-09-25,-.231
101,춘천,2016-09-26,-.225
101,춘천,2016-09-27,-.177
101,춘천,2016-09-28,-.181
101,춘천,2016-09-29,-.176
101,춘천,2016-09-30,-.194
101,춘천,2016-10-01,-.198
101,춘천,2016-10-02,-.12
101,춘천,2016-10-03,.011
101,춘천,2016-10-04,-.019
101,춘천,2016-10-05,-.018
101,춘천,2016-10-06,-.018
101,춘천,2016-10-07,-.005
101,춘천,2016-10-08,.012
101,춘천,2016-10-09,.013
101,춘천,2016-10-10,.013
101,춘천,2016-10-11,.014
101,춘천,2016-10-12,.007
101,춘천,2016-10-13,-.094
101,춘천,2016-10-14,-.165
101,춘천,2016-10-15,-.17
101,춘천,2016-10-16,-.163
101,춘천,2016-10-17,-.157
101,춘천,2016-10-18,-.211
101,춘천,2016-10-19,-.208
101,춘천,2016-10-20,-.206
101,춘천,2016-10-21,-.202
101,춘천,2016-10-22,-.206
101,춘천,2016-10-23,-.184
101,춘천,2016-10-24,-.185
101,춘천,2016-10-25,-.066
101,춘천,2016-10-26,-.06
101,춘천,2016-10-27,-.064
101,춘천,2016-10-28,-.064
101,춘천,2016-10-29,-.087
101,춘천,2016-10-30,-.187
101,춘천,2016-10-31,-.196
101,춘천,2016-11-01,-.192
101,춘천,2016-11-02,-.186
101,춘천,2016-11-03,-.163
101,춘천,2016-11-04,-.161
101,춘천,2016-11-05,-.171
101,춘천,2016-11-06,-.217
101,춘천,2016-11-07,-.206
101,춘천,2016-11-08,-.195
101,춘천,2016-11-09,-.16
101,춘천,2016-11-10,-.133
101,춘천,2016-11-11,-.186
101,춘천,2016-11-12,-.182
101,춘천,2016-11-13,-.178
101,춘천,2016-11-14,-.157
101,춘천,2016-11-15,-.149
101,춘천,2016-11-16,-.152
101,춘천,2016-11-17,-.148
101,춘천,2016-11-18,-.143
